time,0_x,0_y,0_z,1_x,1_y,1_z
0,2.000000,10.000000,0.000000,0.000000,-56.000000,0.000000
1,2.000000,9.997222,0.000000,0.000000,-56.000000,0.000000
2,2.000000,9.991667,0.000000,0.000000,-56.000000,0.000000
3,2.000000,9.983334,0.000000,0.000000,-56.000000,0.000000
4,2.000000,9.972222,0.000000,0.000000,-56.000000,0.000000
5,2.000000,9.958333,0.000000,0.000000,-56.000000,0.000000
6,2.000000,9.941667,0.000000,0.000000,-56.000000,0.000000
7,2.000000,9.922222,0.000000,0.000000,-56.000000,0.000000
8,2.000000,9.900000,0.000000,0.000000,-56.000000,0.000000
9,2.000000,9.875000,0.000000,0.000000,-56.000000,0.000000
10,2.000000,9.847222,0.000000,0.000000,-56.000000,0.000000
11,2.000000,9.816667,0.000000,0.000000,-56.000000,0.000000
12,2.000000,9.783333,0.000000,0.000000,-56.000000,0.000000
13,2.000000,9.747222,0.000000,0.000000,-56.000000,0.000000
14,2.000000,9.708333,0.000000,0.000000,-56.000000,0.000000
15,2.000000,9.666666,0.000000,0.000000,-56.000000,0.000000
16,2.000000,9.622222,0.000000,0.000000,-56.000000,0.000000
17,2.000000,9.575000,0.000000,0.000000,-56.000000,0.000000
18,2.000000,9.525000,0.000000,0.000000,-56.000000,0.000000
19,2.000000,9.472221,0.000000,0.000000,-56.000000,0.000000
20,2.000000,9.416666,0.000000,0.000000,-56.000000,0.000000
21,2.000000,9.358333,0.000000,0.000000,-56.000000,0.000000
22,2.000000,9.297221,0.000000,0.000000,-56.000000,0.000000
23,2.000000,9.233333,0.000000,0.000000,-56.000000,0.000000
24,2.000000,9.166666,0.000000,0.000000,-56.000000,0.000000
25,2.000000,9.097221,0.000000,0.000000,-56.000000,0.000000
26,2.000000,9.025000,0.000000,0.000000,-56.000000,0.000000
27,2.000000,8.950000,0.000000,0.000000,-56.000000,0.000000
28,2.000000,8.872222,0.000000,0.000000,-56.000000,0.000000
29,2.000000,8.791666,0.000000,0.000000,-56.000000,0.000000
30,2.000000,8.708333,0.000000,0.000000,-56.000000,0.000000
31,2.000000,8.622222,0.000000,0.000000,-56.000000,0.000000
32,2.000000,8.533333,0.000000,0.000000,-56.000000,0.000000
33,2.000000,8.441667,0.000000,0.000000,-56.000000,0.000000
34,2.000000,8.347222,0.000000,0.000000,-56.000000,0.000000
35,2.000000,8.250000,0.000000,0.000000,-56.000000,0.000000
36,2.000000,8.150000,0.000000,0.000000,-56.000000,0.000000
37,2.000000,8.047222,0.000000,0.000000,-56.000000,0.000000
38,2.000000,7.941667,0.000000,0.000000,-56.000000,0.000000
39,2.000000,7.833333,0.000000,0.000000,-56.000000,0.000000
40,2.000000,7.722222,0.000000,0.000000,-56.000000,0.000000
41,2.000000,7.608334,0.000000,0.000000,-56.000000,0.000000
42,2.000000,7.491667,0.000000,0.000000,-56.000000,0.000000
43,2.000000,7.372222,0.000000,0.000000,-56.000000,0.000000
44,2.000000,7.250000,0.000000,0.000000,-56.000000,0.000000
45,2.000000,7.125000,0.000000,0.000000,-56.000000,0.000000
46,2.000000,6.997222,0.000000,0.000000,-56.000000,0.000000
47,2.000000,6.866667,0.000000,0.000000,-56.000000,0.000000
48,2.000000,6.733334,0.000000,0.000000,-56.000000,0.000000
49,2.000000,6.597222,0.000000,0.000000,-56.000000,0.000000
50,2.000000,6.458333,0.000000,0.000000,-56.000000,0.000000
51,2.000000,6.316667,0.000000,0.000000,-56.000000,0.000000
52,2.000000,6.172223,0.000000,0.000000,-56.000000,0.000000
53,2.000000,6.025001,0.000000,0.000000,-56.000000,0.000000
54,2.000000,5.875000,0.000000,0.000000,-56.000000,0.000000
55,2.000000,5.722223,0.000000,0.000000,-56.000000,0.000000
56,2.000000,5.566667,0.000000,0.000000,-56.000000,0.000000
57,2.000000,5.408334,0.000000,0.000000,-56.000000,0.000000
58,2.000000,5.247223,0.000000,0.000000,-56.000000,0.000000
59,2.000000,5.083334,0.000000,0.000000,-56.000000,0.000000
60,2.000000,4.916667,0.000000,0.000000,-56.000000,0.000000
61,2.000000,4.747223,0.000000,0.000000,-56.000000,0.000000
62,2.000000,4.575001,0.000000,0.000000,-56.000000,0.000000
63,2.000000,4.400001,0.000000,0.000000,-56.000000,0.000000
64,2.000000,4.222223,0.000000,0.000000,-56.000000,0.000000
