entry_number,step_delta,puppet_delta
0,108.9999,5.0002
1,17.0032,1.9991
2,12.9997,1.0012
3,12.0021,2.0001
4,11.9986,1.001
5,12,0.9995
6,17.9995,1.0023
7,13.0003,1.0007
8,11.9699,1.0005
9,16.999,1.0022
10,13.0026,0.9979
11,19.997,1.0004
12,12.9985,0.9999
13,16.9984,2.0035
14,12.999,1.0003
15,19.0031,0.9977
16,13.9841,1.0002
17,17.9925,1.0022
18,22.9955,0.9999
19,20.0004,1.0017
20,17.5184,1.0019
21,17.5193,0.999
22,19.999,1.0026
23,17.0004,1.9987
24,16.626,1.0021
25,19.9977,1.0003
26,17.9987,1.0023
27,16.9986,2.0051
28,17.9986,2
29,17.9994,1.0006
30,18.0008,1.0005
31,18.0024,1.9986
32,20.0095,0.9972
33,17.998,1.0025
34,18.0037,2.0007
35,17.9982,2.0029
36,17.9983,2.0015
37,19.9952,2.0003
38,22.9951,1.0041
39,19.9989,1.0007
40,18.996,1.0027
41,19.0003,1.0011
42,19.0003,2.0018
43,19.998,0.999
44,19.0015,1.9972
45,19.996,1.0012
46,18.9979,1.0056
47,22.0012,0.9982
48,17.9977,0.9993
49,18.9978,1.9967
50,18.9975,1.0014
51,20.0002,1.0011
52,17.9964,1.0017
53,16.9997,0.999
54,15.9894,0.9997
55,14.9997,1.0021
56,15.0001,1.0014
57,15.0017,1.0027
58,14.9973,0.9999
59,14.9995,1.0009
60,13.9972,1.001
61,14.0046,0.9964
62,13.0012,1.0001
63,14.9991,0.9969
64,14.9973,1.0018
65,11.9936,1.0001
66,12.9987,1.0014
67,17.0023,0.9978
68,13.0011,2.0016
69,12.0016,2.0004
70,11.9891,1.0022
71,11.9965,0.9997
72,12.999,1.0006
73,11.9844,0.9986
74,10.9878,0.9959
75,10.9983,0.9999
76,10,0.9997
77,10.9993,1.0001
78,11.0026,0.9989
79,9.9966,1.0048
80,10.9994,1.0002
81,9.9992,0.9989
82,9.9888,0.999
83,9.9993,1.0001
84,12.0006,1.999
85,9.9998,2.0035
86,9.9986,0.9997
87,9.983,1
88,10.0002,2.0003
89,10.0012,0.9999
